8.222.220.65:443   | 64.252.104.184 | SG | 241ms | CloudFront | 2023-07-24 00:18:40
8.222.216.244:443  | 64.252.104.184 | SG | 219ms | CloudFront | 2023-07-24 00:18:40
8.222.246.151:443  | 64.252.114.200 | SG | 345ms | CloudFront | 2023-07-24 00:18:50
8.222.198.38:443   | 64.252.114.200 | SG | 354ms | CloudFront | 2023-07-24 00:18:54
8.222.216.244:443  | 64.252.104.184 | SG | 218ms | CloudFront | 2023-07-24 00:19:00
8.222.220.65:443   | 64.252.104.184 | SG | 239ms | CloudFront | 2023-07-24 00:19:00
8.222.229.120:443  | 64.252.104.184 | SG | 210ms | CloudFront | 2023-07-24 00:19:05
8.222.246.151:443  | 64.252.114.200 | SG | 346ms | CloudFront | 2023-07-24 00:19:11
47.236.18.244:443  | 64.252.104.184 | SG | 218ms | CloudFront | 2023-07-24 00:32:18
47.236.18.244:443  | 64.252.104.184 | SG | 218ms | CloudFront | 2023-07-24 00:32:38
47.241.216.8:443   | 64.252.104.184 | SG | 83ms | CloudFront | 2023-07-24 00:35:22
47.241.216.8:443   | 64.252.104.184 | SG | 87ms | CloudFront | 2023-07-24 00:35:31
47.245.104.245:443 | 64.252.114.200 | SG | 348ms | CloudFront | 2023-07-24 00:43:13
47.245.104.245:443 | 64.252.114.200 | SG | 342ms | CloudFront | 2023-07-24 00:43:18
161.117.81.13:443  | 64.252.104.184 | SG | 80ms | CloudFront | 2023-07-24 00:53:58
161.117.81.13:443  | 64.252.104.184 | SG | 79ms | CloudFront | 2023-07-24 00:54:16
193.226.79.198:443 | 64.252.104.184 | SG | 339ms | CloudFront | 2023-07-24 02:40:27
